seed_id,case_group,case_type,article,item_no,name,legal_basis,source_document,source_url,chapter,chapter_name,notes
LD_D32_3_a,Lao động,Tranh chấp lao động,32,3.a,"Tranh chấp liên quan đến lao động: học nghề, tập nghề","Điều 32 Bộ luật Tố tụng dân sự, khoản/mục 3.a",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D32_3_b,Lao động,Tranh chấp lao động,32,3.b,Tranh chấp liên quan đến lao động: cho thuê lại lao động,"Điều 32 Bộ luật Tố tụng dân sự, khoản/mục 3.b",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D32_3_c,Lao động,Tranh chấp lao động,32,3.c,"Tranh chấp liên quan đến lao động: quyền công đoàn, kinh phí công đoàn","Điều 32 Bộ luật Tố tụng dân sự, khoản/mục 3.c",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D32_3_d,Lao động,Tranh chấp lao động,32,3.d,"Tranh chấp liên quan đến lao động: an toàn lao động, vệ sinh lao động","Điều 32 Bộ luật Tố tụng dân sự, khoản/mục 3.d",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D32_4,Lao động,Tranh chấp lao động,32,4,Tranh chấp về bồi thường thiệt hại do đình công bất hợp pháp,"Điều 32 Bộ luật Tố tụng dân sự, khoản/mục 4",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D32_5,Lao động,Tranh chấp lao động,32,5,"Các tranh chấp khác về lao động, trừ trường hợp thuộc thẩm quyền của cơ quan, tổ chức khác","Điều 32 Bộ luật Tố tụng dân sự, khoản/mục 5",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D33_1,Lao động,Việc lao động,33,1,"Yêu cầu tuyên bố hợp đồng lao động, thỏa ước lao động tập thể vô hiệu","Điều 33 Bộ luật Tố tụng dân sự, khoản/mục 1",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D33_2,Lao động,Việc lao động,33,2,Yêu cầu xét tính hợp pháp của cuộc đình công,"Điều 33 Bộ luật Tố tụng dân sự, khoản/mục 2",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D33_3,Lao động,Việc lao động,33,3,"Yêu cầu công nhận và cho thi hành tại Việt Nam hoặc không công nhận bản án, quyết định lao động của Tòa án nước ngoài; hoặc không công nhận khi không có yêu cầu thi hành tại Việt Nam","Điều 33 Bộ luật Tố tụng dân sự, khoản/mục 3",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D33_4,Lao động,Việc lao động,33,4,Yêu cầu công nhận và cho thi hành tại Việt Nam phán quyết lao động của Trọng tài nước ngoài,"Điều 33 Bộ luật Tố tụng dân sự, khoản/mục 4",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D33_5,Lao động,Việc lao động,33,5,"Các yêu cầu khác về lao động, trừ trường hợp thuộc thẩm quyền của cơ quan, tổ chức khác","Điều 33 Bộ luật Tố tụng dân sự, khoản/mục 5",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
